Contract Start,Invoice Number,Client Name,Services,Addons,Type,Invoice Date,Service April MRR Amount(Rs),Addons MRR Amount(Rs),Total April MRR Amount(Service _ addons(Rs)),Payment Status,Client Status
01-Apr,GPPL/2025-26/1,Carrier Airconditioning,Digital Marketing Services Campaign April,"
1.Digital Marketing Services Pack of 10 images Enhanced License Yoga Image
2.Outdoor advertising RESIDENTIAL SIGNAGE RAJAMUDHARY, AHMEDABAD RAIPUR, KOZHIKODE PUNJAB, JALANDHAR AMRITSAR, PATIALA, BHATINDA

",,01-Apr,"1,88.800",13367.71 + 9580230.02,"97,82,391.73",Paid,
01-Apr,GPPL/2025-26/2,Vip Industries Limited,Digital Marketing Services,,Retainer,01-Apr,"3,71,700",,,Paid,
01-Apr,GPPL/2025-26/6,TLG India Private Limited,"E-Content Development Services Final version Basics of Survival in Jungle Physical Fitness Diet & Nutrition (CSJWT, CRPF Belgaum)","1.E-Content Development Services Story boarding Learning Direct and L1 purchases on GeM Cardiac Arrest and Basic Life Support(MGSIPA, Govt of Punjab)
2.E-Content Development Services Story boarding Fire Fighting Industrial Safety Electrical Safety and Protections(YITM, Nagpur)
",,01-Apr,"1,59,469.92","106313.28 + 159,469.92","4,25,253.12",Paid,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
