Contract Start,Invoice Number,Client Name,Services,Addons,Type,Invoice Date,Service April MRR Amount(Rs),Addons MRR Amount(Rs),Total April MRR Amount(Service _ addons(Rs)),Payment Status,Client Status
01-Jul,GPPL/2025-26/52,Vip Industries Limited,Digital Marketing Services,"1.Social Media Promtions July 2025 with agency fees 5%



",Retainer,01-Jul,"3,71,700","2,35,410","6,07,110",Paid,
01-Jul,GPPL/2025-26/39,DJT Fashion Private Limited,Digital Marketing Services Retainer Month of June 2025,,Retainer,01-Jul,"4,13,000",,"4,13,000",Paid,
01-Jul,GPPL/2025-26/1,Carrier Airconditioning,"Digital Marketing Services
Retainership Month Of July 2025
","
1.Digital Marketing Services Glow Sign Boards Installation || Weather cool Services 

",Retainer,01-Jul,"1,88,800","2,15,468","4,04,268",Paid,
01-Jul,GPPL/2025-26/59,Shyam Metalics and energy limtied,Digital Marketing Services Retainer Month of July 2025,,,01-Jul,"2,95,000",,"2,95,000",Paid,
01-Jul,GPPL/2025-26/33,Utkarsh Bank Finance bank limited,,"Digital Marketing Services

1.Personal Loan Lead Campaign
2.Gold Loan Lead Campaign
3.Recruitment Campaign in 10 cities
4.Recruitment Campaign in 13 cities
5.Recruitment Campaign in 14 cities
6.Gold Loan Lead Campaign
7.Gold Loan Lead Campaign
8.Personal Loan Lead Campaign
9.Lead Generation Digital Campaign",,01-Jul,,"2,94,995.28 + 2,94,273.12 + 3,78,613.62 + 4,31,585.00 + 4,54,300 + 3,24,500 + 27,121,48 + 28,670.30 + 2,59,600","24,93,658.80",Paid,
01-Jul,GPPL/2025-26/58,Shudanshu Rai,Panel 550 WT MONO HALF CUT NON DCR Hybrid Solar Inverter 7.5 kW Hybrid Solar Inverter — 8504 LITHIUM Ion Battery 100 Ah Lithium Ion Battery — 8507 CABLING + BOX + COUPLER + INSTALLATION Structure and Installation Charges — 998732,,,01-Jul,"5,09,444.00",,"5,09,444.00",Paid,
